IL22RA2	0
STAT3	0.000147417
MCM2	0.00176839
SYNCRIP	0.00184346
RC3H1	0.00219551
ZER1	0.00239708
HNRNPA1	0.00249565
PABPC1	0.0029484
EZR	0.00338978
MYH9	0.0036064
LMNA	0.00419717
KRT18	0.00438775
HSP90AA1	0.00443882
MCM7	0.00466971
SKP2	0.00518901
MAP1LC3B	0.00559688
DAG1	0.00572512
PCLAF	0.00599743
IFNA2	0.00711783
ARL5B	0.00727685
YWHAZ	0.00729351
PAK4	0.00732195
ANXA2	0.00805465
PRMT1	0.00825991
CALR	0.00830758
PTMA	0.0089114
HSPA8	0.00907947
MYC	0.00914678
BRD4	0.00922773
HNRNPH1	0.00974468
IL22	0.00977824
RPS19	0.00980136
BIRC3	0.0100567
HSPB1	0.0100959
ILF3	0.0106529
CHD4	0.0108733
LGALS3	0.0109508
PEAK1	0.0112647
PHB1	0.0114552
TUBA1A	0.011625
MSN	0.0118402
EPHB2	0.0119416
RBX1	0.0122984
IL1RN	0.0124805
RPS18	0.0128357
HNRNPA2B1	0.0128796
CST5	0.0133874
ANP32B	0.0140113
PROK1	0.0141032
EIF3E	0.014233
IL1B	0.0144629
IL1A	0.0145914
IL20	0.0147223
USF2	0.0149246
QKI	0.0149313
YBX1	0.0156267
PPP2CA	0.0157893
SUMO2	0.0157951
CFTR	0.0159193
TFAP2A	0.0159397
GRN	0.015976
PTPRS	0.0160109
IL9	0.0161529
MTDH	0.0162025
KRTAP12-3	0.0162706
CERS4	0.0163074
TRAF6	0.0163207
TM2D3	0.0163806
GRB2	0.0163941
ESR2	0.0164425
IL2	0.0165246
GANAB	0.0165398
EFTUD2	0.0165803
ZNF587	0.0166179
RNF123	0.0166296
TPI1	0.0170189
TCF7L2	0.0172372
ANP32A	0.0172762
CLU	0.0174449
PKM	0.0177222
CDK1	0.0178101
ATP12A	0.0178764
ACTN4	0.0180349
MYO18A	0.0181507
CXCR5	0.0181671
BMP5	0.0184388
IGHG1	0.0185036
SGTB	0.0186214
TRIP13	0.0187246
DYNLL1	0.0187574
TUBA4A	0.0188136
SCAMP1	0.0188183
MDM2	0.0188786
LRIF1	0.0189433
RPL31	0.0189496
CNOT1	0.0191665
RALBP1	0.0192397
VAPA	0.019269
IKZF4	0.0194604
COPB1	0.0194743
RIF1	0.0194842
RPS4X	0.0196882
ESR1	0.0196916
CYLD	0.0197018
WFS1	0.019872
CEBPB	0.0198788
PCDH1	0.0199222
TUBB3	0.0199513
EEF1G	0.019966
MAPK1	0.0201223
COPS5	0.0201745
IKBKG	0.0202101
CASK	0.0204758
STUB1	0.0205421
MAP4K4	0.0205509
DCAF4	0.0206359
SNX27	0.0207706
IL17A	0.0208365
SLC16A2	0.0209878
CCL23	0.0210681
API5	0.0211112
S100A8	0.0213905
YBX3	0.021407
IL4R	0.0214439
SRRT	0.0215042
CD53	0.021558
PPP2R2B	0.0215742
MAP2K1	0.0215923
AIFM1	0.0217033
SGCB	0.0217248
SH3GL2	0.0217836
SEC22B	0.0217973
COPS6	0.0218296
ICAM1	0.0218353
B4GALT5	0.021873
BEX2	0.0218797
HTT	0.0219692
LMO7	0.0221151
SLC38A1	0.0221167
PRPF6	0.0221548
SRC	0.022197
BIRC2	0.02224
SLC39A10	0.0225058
PRKACA	0.0225347
LIF	0.0225425
MAP3K1	0.0227163
SF3A2	0.0227284
XPO5	0.0228888
SQSTM1	0.0229402
RPL35A	0.0229672
NF2	0.0230409
NDUFAF1	0.0230686
NCBP3	0.0231017
EDA	0.0231055
A2M	0.0232417
SOCS3	0.0232685
HM13	0.0233018
PLEC	0.0233211
PRKCI	0.0233215
SREBF2	0.0234004
MAP3K7	0.0234063
CDC5L	0.0235463
CDK9	0.0235468
STK16	0.0236512
GLS	0.0236589
HSP90B1	0.0238016
RPL9	0.0238131
BID	0.0238607
HIF1A	0.0239174
NTAQ1	0.0239574
TNFSF10	0.0239843
HSPA5	0.0240301
MBP	0.0242101
VCAM1	0.0242198
TGFBR2	0.024364
TRAF2	0.024388
STAT5B	0.0245361
NPM1	0.0245747
FZR1	0.024587
PTPRG	0.024739
