IL22RA2	0
SYNCRIP	0.00190588
ZER1	0.0020675
CST5	0.00215848
MYH9	0.0028661
LMNA	0.00485751
MCM2	0.00545164
RC3H1	0.00598336
PABPC1	0.00622388
MCM7	0.00674167
HNRNPA1	0.00674789
HSPA8	0.00747371
STAT3	0.00823505
KRT18	0.00831288
HSP90AA1	0.00926557
HNRNPA2B1	0.00973589
EZR	0.010653
ARL5B	0.0109951
SKP2	0.011697
DAG1	0.0117427
RPS19	0.0121817
ANXA2	0.0128454
CFTR	0.012883
YWHAZ	0.0135686
HNRNPH1	0.0141301
MYC	0.0142829
PAK4	0.0142871
CHD4	0.0143724
ILF3	0.0150965
IL22	0.0154747
IL9	0.0159063
MAP1LC3B	0.0168037
BIRC3	0.0175185
HSPB1	0.0193154
PHB	0.0204793
PTMA	0.0209961
COPS5	0.0211226
RPS18	0.0211801
ACTN4	0.0215211
PROK1	0.0217108
GRB2	0.0219685
MDM2	0.0224784
VAPA	0.0225687
PRMT1	0.0227638
XRCC6	0.0228454
QKI	0.0231371
CDK1	0.0231555
SUMO2	0.0231964
TUBA1A	0.0237056
TFAP2A	0.0239981
PEAK1	0.0240034
RBX1	0.0248263
STUB1	0.0248648
ANP32A	0.0248654
ZNF587	0.0249571
BRD4	0.025263
IL1B	0.025327
NPM1	0.0253283
MSN	0.0253646
IFNA2	0.0255425
HSP90B1	0.0258792
PRKCI	0.0260786
GANAB	0.0263002
RIF1	0.0263829
MAPK1	0.0264571
CALR	0.0269053
RNF123	0.0270942
PKM	0.0271582
MTDH	0.0271802
EEF1G	0.0273143
TPI1	0.0274835
CYLD	0.0276688
IL1A	0.0284214
TGFBR2	0.0284399
PPP2CA	0.0294349
COPS6	0.0296093
SRC	0.030165
SRRT	0.0305156
HSPA5	0.0307001
MAP4K4	0.0307257
GRN	0.0310318
AIFM1	0.0310673
YBX3	0.0312695
IL1RN	0.0314271
YBX1	0.0317842
CNOT1	0.0319334
RPL35A	0.0319594
RPL31	0.0321098
IGHG1	0.0323088
WDYHV1	0.0323178
PRKACA	0.0324055
FYN	0.0324108
MYO18A	0.0325201
EEF1B2	0.0326893
HTT	0.0327734
RALBP1	0.0328128
EFTUD2	0.0331977
API5	0.0332751
PRPF6	0.033285
EPHB2	0.0333275
LMO7	0.0334812
SF3A2	0.0334988
MCM3	0.0335324
MAP3K1	0.0336329
BAG6	0.0336848
RPS4X	0.0339432
SEC22B	0.0341923
COPB1	0.0343086
IKZF4	0.0343765
TUBB3	0.0346054
PCDH1	0.0347515
CASK	0.0350263
NCBP3	0.0352416
LGALS3	0.0352727
SOCS3	0.0353572
PAK2	0.0354878
IL4R	0.0356497
TP53	0.0357983
SRSF1	0.0358351
LIF	0.0358574
TRAF6	0.0359852
MAP2K1	0.0360385
DYNLL1	0.0361628
XPO5	0.0362096
HIF1A	0.036264
CDC5L	0.0363543
ENO1	0.0363996
EWSR1	0.0364344
SH3GL2	0.0366882
RPL9	0.0366999
